code,title,description
325611,Soap and Other Detergent Manufacturing,"This industry comprises establishments primarily engaged in manufacturing soap and other detergents."
325612,Polish and Other Sanitation Good Manufacturing,"This industry comprises establishments primarily engaged in manufacturing polishes and other sanitation goods."
325613,Surface Active Agent Manufacturing,"This industry comprises establishments primarily engaged in manufacturing surface active agents."
325620,Toilet Preparation Manufacturing,"This industry comprises establishments primarily engaged in manufacturing toilet preparations."
325710,Printing Ink Manufacturing,"This industry comprises establishments primarily engaged in manufacturing printing inks."
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,"This industry comprises establishments primarily engaged in manufacturing chemical products and preparations (except basic chemicals, resins, synthetic rubber, fibers, fertilizers, pesticides, pharmaceuticals, paints, coatings, adhesives, soap, detergents, polishes, sanitation goods, surface active agents, toilet preparations, and printing inks)."
326111,Plastics Bag and Pouch Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics bags and pouches."
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics packaging film and sheet."
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing unlaminated plastics film and sheet (except packaging)."
326115,Plastics Products for Industrial Use Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics products for industrial use."
326116,Plastics Bottle Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics bottles."
326121,Unlaminated Plastics Profile Shape Manufacturing,"This industry comprises establishments primarily engaged in manufacturing unlaminated plastics profile shapes."
326122,Plastics Pipe and Pipe Fitting Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics pipe and pipe fittings."
326130,Laminated Plastics Plate Sheet (except Packaging) and Shape Manufacturing,"This industry comprises establishments primarily engaged in manufacturing laminated plastics plate, sheet, and shapes."
326140,Polystyrene Foam Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing polystyrene foam products."
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing urethane and other foam products (except polystyrene)."
326160,Plastics Bottle Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics bottles."
326191,Plastics Plumbing Fixture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics plumbing fixtures."
326199,All Other Plastics Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics products (except packaging, industrial products, bottles, profile shapes, pipe and pipe fittings, laminated plate and sheet, foam products, and plumbing fixtures)."
326211,Tire Manufacturing (except Retreading),"This industry comprises establishments primarily engaged in manufacturing tires (except retreading)."
326212,Tire Retreading,"This industry comprises establishments primarily engaged in retreading tires."
326220,Rubber and Plastics Hoses and Belting Manufacturing,"This industry comprises establishments primarily engaged in manufacturing rubber and plastics hoses and belting."
326291,Rubber Product Manufacturing for Mechanical Use,"This industry comprises establishments primarily engaged in manufacturing rubber products for mechanical use."
326299,All Other Rubber Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing rubber products (except tires, hoses and belting, and mechanical products)."
327110,Pottery Ceramics and Plumbing Fixture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing pottery, ceramics, and plumbing fixtures."
327120,Clay Building Material and Refractories Manufacturing,"This industry comprises establishments primarily engaged in manufacturing clay building materials and refractories."
327211,Flat Glass Manufacturing,"This industry comprises establishments primarily engaged in manufacturing flat glass."
327212,Other Pressed and Blown Glass and Glassware Manufacturing,"This industry comprises establishments primarily engaged in manufacturing pressed and blown glass and glassware (except flat glass)."
327213,Glass Container Manufacturing,"This industry comprises establishments primarily engaged in manufacturing glass containers."
327215,Glass Product Manufacturing Made of Purchased Glass,"This industry comprises establishments primarily engaged in manufacturing glass products from purchased glass."
327310,Cement Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cement."
327320,Ready-Mix Concrete Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ready-mix concrete."
327330,Concrete Pipe Brick and Block Manufacturing,"This industry comprises establishments primarily engaged in manufacturing concrete pipe, brick, and block."
327390,Other Concrete Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing concrete products (except ready-mix concrete, pipe, brick, and block)."
327410,Lime Manufacturing,"This industry comprises establishments primarily engaged in manufacturing lime."
327420,Gypsum Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing gypsum products."
327910,Abrasive Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing abrasive products."
327991,Cut Stone and Stone Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cut stone and stone products."
327992,Ground or Treated Mineral and Earth Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ground or treated minerals and earths."
327993,Mineral Wool Manufacturing,"This industry comprises establishments primarily engaged in manufacturing mineral wool."
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing nonmetallic mineral products (except pottery, ceramics, plumbing fixtures, clay building materials, glass, cement, concrete, lime, gypsum, abrasive products, cut stone, ground or treated minerals and earths, and mineral wool)."
331110,Iron and Steel Mills and Ferroalloy Manufacturing,"This industry comprises establishments primarily engaged in manufacturing iron and steel and ferroalloys."
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,"This industry comprises establishments primarily engaged in manufacturing iron and steel pipes and tubes from purchased steel."
331221,Rolled Steel Shape Manufacturing,"This industry comprises establishments primarily engaged in manufacturing rolled steel shapes."
331222,Steel Wire Drawing,"This industry comprises establishments primarily engaged in drawing steel wire."
331313,Alumina Refining and Primary Aluminum Production,"This industry comprises establishments primarily engaged in refining alumina and producing primary aluminum."
331314,Secondary Smelting and Alloying of Aluminum,"This industry comprises establishments primarily engaged in secondary smelting and alloying of aluminum."
331315,Aluminum Sheet Plate and Foil Manufacturing,"This industry comprises establishments primarily engaged in manufacturing aluminum sheet, plate, and foil."
331318,Other Aluminum Rolling Drawing and Extruding,"This industry comprises establishments primarily engaged in rolling, drawing, and extruding aluminum (except sheet, plate, and foil)."
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,"This industry comprises establishments primarily engaged in smelting and refining nonferrous metals (except aluminum)."
331420,Copper Rolling Drawing Extruding and Alloying,"This industry comprises establishments primarily engaged in rolling, drawing, extruding, and alloying copper."
331431,Nonferrous Metal (except Copper and Aluminum) Rolling Drawing and Extruding,"This industry comprises establishments primarily engaged in rolling, drawing, and extruding nonferrous metals (except copper and aluminum)."
331491,Nonferrous Metal (except Copper and Aluminum) Rolling Drawing and Extruding,"This industry comprises establishments primarily engaged in rolling, drawing, and extruding nonferrous metals (except copper and aluminum)."
331492,Secondary Smelting Refining and Alloying of Nonferrous Metal (except Copper and Aluminum),"This industry comprises establishments primarily engaged in secondary smelting, refining, and alloying of nonferrous metals (except copper and aluminum)."
331493,Secondary Smelting Refining and Alloying of Nonferrous Metal (except Copper and Aluminum),"This industry comprises establishments primarily engaged in secondary smelting, refining, and alloying of nonferrous metals (except copper and aluminum)."
331511,Iron Foundries,"This industry comprises establishments primarily engaged in manufacturing iron castings."
331512,Steel Investment Foundries,"This industry comprises establishments primarily engaged in manufacturing steel investment castings."
331513,Steel Foundries (except Investment),"This industry comprises establishments primarily engaged in manufacturing steel castings (except investment castings)."
331520,Nonferrous Metal Foundries,"This industry comprises establishments primarily engaged in manufacturing nonferrous metal castings."
332111,Steel Forging,"This industry comprises establishments primarily engaged in forging steel."
332112,Nonferrous Forging,"This industry comprises establishments primarily engaged in forging nonferrous metals."
332114,Custom Roll Forming,"This industry comprises establishments primarily engaged in custom roll forming metal."
332117,Powder Metallurgy Part Manufacturing,"This industry comprises establishments primarily engaged in manufacturing powder metallurgy parts."
332119,Metal Crown Closure and Other Metal Stamping (except Automotive),"This industry comprises establishments primarily engaged in metal stamping (except automotive)."
332211,Cutlery and Flatware (except Precious) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing cutlery and flatware (except precious)."
332212,Hand and Edge Tool Manufacturing,"This industry comprises establishments primarily engaged in manufacturing hand and edge tools."
332216,Saw Blade and Handsaw Manufacturing,"This industry comprises establishments primarily engaged in manufacturing saw blades and handsaws."
332311,Prefabricated Metal Building and Component Manufacturing,"This industry comprises establishments primarily engaged in manufacturing prefabricated metal buildings and components."
332312,Fabricated Structural Metal Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fabricated structural metal products."
332313,Plate Work Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plate work."
332321,Metal Window and Door Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metal windows and doors."
332322,Sheet Metal Work Manufacturing,"This industry comprises establishments primarily engaged in manufacturing sheet metal work."
332323,Ornamental and Architectural Metal Work Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ornamental and architectural metal work."
332410,Power Boiler and Heat Exchanger Manufacturing,"This industry comprises establishments primarily engaged in manufacturing power boilers and heat exchangers."
332420,Metal Tank (Heavy Gauge) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing heavy gauge metal tanks."
332431,Metal Can Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metal cans."
332439,Other Metal Container Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metal containers (except cans)."
332510,Hardware Manufacturing,"This industry comprises establishments primarily engaged in manufacturing hardware."
332610,Spring (except Wire) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing springs (except wire)."
332612,Wire Spring Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wire springs."
332618,Other Fabricated Wire Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fabricated wire products (except springs)."
332710,Machined Metal Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing machined metal products."
332720,Turned Product and Screw Nut and Bolt Manufacturing,"This industry comprises establishments primarily engaged in manufacturing turned products, screws, nuts, and bolts."
332811,Metal Heat Treating,"This industry comprises establishments primarily engaged in heat treating metal."
332812,Metal Coating Engraving (except Jewelry and Silverware) and Allied Services to Manufacturers,"This industry comprises establishments primarily engaged in coating, engraving, and providing allied services to manufacturers."
332813,Electroplating Plating Polishing Anodizing and Coloring,"This industry comprises establishments primarily engaged in electroplating, plating, polishing, anodizing, and coloring metal."
332911,Industrial Valve Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial valves."
332912,Fluid Power Valve and Hose Fitting Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fluid power valves and hose fittings."
332913,Plumbing Fixture Fitting and Trim (except Brass Goods) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plumbing fixtures, fittings, and trim (except brass goods)."
332919,Other Metal Valve and Pipe Fitting Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metal valves and pipe fittings (except industrial valves, fluid power valves, and plumbing fixtures)."
332991,Ball and Roller Bearing Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ball and roller bearings."
332992,Small Arms Ammunition Manufacturing,"This industry comprises establishments primarily engaged in manufacturing small arms ammunition."
332993,Ammunition (except Small Arms) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ammunition (except small arms)."
332994,Small Arms Ordnance and Ordnance Accessories Manufacturing,"This industry comprises establishments primarily engaged in manufacturing small arms, ordnance, and ordnance accessories."
332996,Fabricated Pipe and Pipe Fitting Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fabricated pipe and pipe fittings."
332997,Industrial Pattern Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial patterns."
332998,Enameled Iron and Metal Sanitary Ware Manufacturing,"This industry comprises establishments primarily engaged in manufacturing enameled iron and metal sanitary ware."
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fabricated metal products (except machinery and equipment)."
333111,Farm Machinery and Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing farm machinery and equipment."
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing lawn and garden tractors and home lawn and garden equipment."
333120,Construction Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing construction machinery."
333131,Mining Machinery and Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing mining machinery and equipment."
333132,Oil and Gas Field Machinery and Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing oil and gas field machinery and equipment."
333133,Oil and Gas Field Machinery and Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing oil and gas field machinery and equipment."
333241,Food Product Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing food product machinery."
333242,Semiconductor Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing semiconductor machinery."
333243,Sawmill Woodworking and Paper Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing sawmill, woodworking, and paper machinery."
333244,Printing Machinery and Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing printing machinery and equipment."
333249,Other Industrial Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial machinery (except food product, semiconductor, sawmill, woodworking, paper machinery, and printing machinery)."
333310,Commercial and Service Industry Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing commercial and service industry machinery."
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial and commercial fans, blowers, and air purification equipment."
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing heating equipment (except warm air furnaces)."
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment."
333510,Metalworking Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metalworking machinery."
333611,Turbine and Turbine Generator Set Units Manufacturing,"This industry comprises establishments primarily engaged in manufacturing turbines and turbine generator set units."
333612,Speed Changer Industrial High-Speed Drive and Gear Manufacturing,"This industry comprises establishments primarily engaged in manufacturing speed changers, industrial high-speed drives, and gears."
333613,Mechanical Power Transmission Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing mechanical power transmission equipment."
333911,Pump and Pumping Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing pumps and pumping equipment."
333912,Air and Gas Compressor Manufacturing,"This industry comprises establishments primarily engaged in manufacturing air and gas compressors."
333913,Measuring and Dispensing Pump Manufacturing,"This industry comprises establishments primarily engaged in manufacturing measuring and dispensing pumps."
333921,Elevator and Moving Stairway Manufacturing,"This industry comprises establishments primarily engaged in manufacturing elevators and moving stairways."
333922,Conveyor and Conveying Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing conveyors and conveying equipment."
333923,Overhead Traveling Crane Hoist and Monorail System Manufacturing,"This industry comprises establishments primarily engaged in manufacturing overhead traveling cranes, hoists, and monorail systems."
333924,Industrial Truck Tractor Trailer and Stacker Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial trucks, tractors, trailers, and stacker machinery."
333991,Power-Driven Handtool Manufacturing,"This industry comprises establishments primarily engaged in manufacturing power-driven handtools."
333992,Welding and Soldering Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing welding and soldering equipment."
333993,Packaging Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing packaging machinery."
333994,Industrial Process Furnace and Oven Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial process furnaces and ovens."
333995,Fluid Cylinder and Actuator Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fluid cylinders and actuators."
333996,Scale and Balance (except Laboratory) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing scales and balances (except laboratory)."
333997,Scale and Balance Manufacturing,"This industry comprises establishments primarily engaged in manufacturing scales and balances."
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing general purpose machinery (except farm, construction, mining, oil and gas field, industrial, commercial, service industry, metalworking, textile, power transmission, pump and compressor, material handling, and general purpose machinery)."
334111,Electronic Computer Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electronic computers."
334112,Computer Storage Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing computer storage devices."
334113,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing computer terminals and other computer peripheral equipment."
334210,Telephone Apparatus Manufacturing,"This industry comprises establishments primarily engaged in manufacturing telephone apparatus."
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing radio and television broadcasting and wireless communications equipment."
334290,Other Communications Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing communications equipment (except telephone apparatus, and radio and television broadcasting and wireless communications equipment)."
334310,Audio and Video Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing audio and video equipment."
334413,Semiconductor and Related Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing semiconductors and related devices."
334414,Electronic Capacitor Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electronic capacitors."
334415,Electronic Resistor Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electronic resistors."
334416,Electronic Coil Transformer and Other Inductor Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electronic coils, transformers, and other inductors."
334417,Electronic Connector Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electronic connectors."
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing printed circuit assemblies."
334419,Other Electronic Component Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electronic components (except capacitors, resistors, coils, transformers, connectors, and printed circuit assemblies)."
334431,Optical Instrument and Lens Manufacturing,"This industry comprises establishments primarily engaged in manufacturing optical instruments and lenses."
334432,Photographic and Photocopying Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing photographic and photocopying equipment."
334441,Fiber Optic Cable Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fiber optic cable."
334442,Other Communication and Energy Wire Manufacturing,"This industry comprises establishments primarily engaged in manufacturing communication and energy wire (except fiber optic)."
334443,Wiring Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wiring devices."
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electromedical and electrotherapeutic apparatus."
334511,Search Detection Navigation Guidance Aeronautical and Nautical System and Instrument Manufacturing,"This industry comprises establishments primarily engaged in manufacturing search, detection, navigation, guidance, aeronautical, and nautical systems and instruments."
334512,Automatic Environmental Control Manufacturing for Residential Commercial and Appliance Use,"This industry comprises establishments primarily engaged in manufacturing automatic environmental controls for residential, commercial, and appliance use."
334513,Instruments and Related Products Manufacturing for Measuring Displaying and Controlling Industrial Process Variables,"This industry comprises establishments primarily engaged in manufacturing instruments and related products for measuring, displaying, and controlling industrial process variables."
334514,Totalizing Fluid Meter and Counting Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing totalizing fluid meters and counting devices."
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,"This industry comprises establishments primarily engaged in manufacturing instruments for measuring and testing electricity and electrical signals."
334516,Analytical Laboratory Instrument Manufacturing,"This industry comprises establishments primarily engaged in manufacturing analytical laboratory instruments."
334517,Irradiation Apparatus Manufacturing,"This industry comprises establishments primarily engaged in manufacturing irradiation apparatus."
334518,Watch Clock and Part Manufacturing,"This industry comprises establishments primarily engaged in manufacturing watches, clocks, and parts."
334519,Other Measuring and Controlling Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing measuring and controlling devices (except search, detection, navigation, guidance, aeronautical, and nautical systems and instruments; automatic environmental controls; instruments for measuring and controlling industrial process variables; totalizing fluid meters and counting devices; instruments for measuring and testing electricity and electrical signals; analytical laboratory instruments; irradiation apparatus; and watches, clocks, and parts)."
334613,Blank Magnetic and Optical Recording Media Manufacturing,"This industry comprises establishments primarily engaged in manufacturing blank magnetic and optical recording media."
334614,Software and Other Prerecorded Compact Disc Tape and Record Reproducing,"This industry comprises establishments primarily engaged in reproducing software and other prerecorded compact discs, tapes, and records."
335110,Electric Lamp Bulb and Part Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electric lamp bulbs and parts."
335121,Residential Electric Lighting Fixture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing residential electric lighting fixtures."
335122,Commercial Industrial and Institutional Electric Lighting Fixture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing commercial, industrial, and institutional electric lighting fixtures."
335129,Other Lighting Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing lighting equipment (except electric lamp bulbs, residential electric lighting fixtures, and commercial, industrial, and institutional electric lighting fixtures)."
335211,Electric Housewares and Household Fan Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electric housewares and household fans."
335212,Household Vacuum Cleaner Manufacturing,"This industry comprises establishments primarily engaged in manufacturing household vacuum cleaners."
335220,Major Appliance Manufacturing,"This industry comprises establishments primarily engaged in manufacturing major appliances."
335311,Power Switching and Select Control (except Crossbar) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing power switching and select control devices (except crossbar)."
335312,Motor and Generator Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motors and generators."
335313,Wiring Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wiring devices."
335314,Relay and Industrial Control Manufacturing,"This industry comprises establishments primarily engaged in manufacturing relays and industrial controls."
335911,Storage Battery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing storage batteries."
335919,Other Battery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing primary batteries."
335929,Other Communication and Energy Wire Manufacturing,"This industry comprises establishments primarily engaged in manufacturing communication and energy wire (except fiber optic)."
335930,Wiring Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wiring devices."
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electrical equipment and components (except electric lamp bulbs, residential electric lighting fixtures, commercial, industrial, and institutional electric lighting fixtures, other lighting equipment, electric housewares and household fans, household vacuum cleaners, major appliances, power switching and select control devices, motors and generators, wiring devices, and relays and industrial controls)."
336111,Automobile Manufacturing,"This industry comprises establishments primarily engaged in manufacturing automobiles."
336112,Light Truck and Utility Vehicle Manufacturing,"This industry comprises establishments primarily engaged in manufacturing light trucks and utility vehicles."
336120,Heavy Duty Truck Manufacturing,"This industry comprises establishments primarily engaged in manufacturing heavy duty trucks."
336211,Motor Vehicle Body Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor vehicle bodies."
336212,Truck Trailer Manufacturing,"This industry comprises establishments primarily engaged in manufacturing truck trailers."
336213,Motor Home Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor homes."
336214,Travel Trailer and Camper Manufacturing,"This industry comprises establishments primarily engaged in manufacturing travel trailers and campers."
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor vehicle gasoline engines and engine parts."
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor vehicle electrical and electronic equipment."
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor vehicle steering and suspension components (except springs)."
336340,Motor Vehicle Brake System Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor vehicle brake systems."
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor vehicle transmissions and power train parts."
336360,Motor Vehicle Seating and Interior Trim Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motor vehicle seating and interior trim."
336370,Motor Vehicle Metal Stamping,"This industry comprises establishments primarily engaged in motor vehicle metal stamping."
336390,Other Motor Vehicle Parts Manufacturing,"This industry comprises establishments primarily engaged in manufacturing other motor vehicle parts."
336411,Aircraft Manufacturing,"This industry comprises establishments primarily engaged in manufacturing aircraft."
336412,Aircraft Engine and Engine Parts Manufacturing,"This industry comprises establishments primarily engaged in manufacturing aircraft engines and engine parts."
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing other aircraft parts and auxiliary equipment."
336414,Guided Missile and Space Vehicle Manufacturing,"This industry comprises establishments primarily engaged in manufacturing guided missiles and space vehicles."
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,"This industry comprises establishments primarily engaged in manufacturing guided missile and space vehicle propulsion units and parts."
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing other guided missile and space vehicle parts and auxiliary equipment."
336510,Railroad Rolling Stock Manufacturing,"This industry comprises establishments primarily engaged in manufacturing railroad rolling stock."
336611,Ship Building and Repairing,"This industry comprises establishments primarily engaged in building and repairing ships."
336612,Boat Building,"This industry comprises establishments primarily engaged in building boats."
336991,Motorcycle Bicycle and Parts Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motorcycles, bicycles, and parts."
336992,Military Armored Vehicle Tank and Tank Component Manufacturing,"This industry comprises establishments primarily engaged in manufacturing military armored vehicles, tanks, and tank components."
336999,All Other Transportation Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing transportation equipment (except motor vehicles, aircraft, guided missiles, space vehicles, railroad rolling stock, ships, boats, motorcycles, bicycles, and military armored vehicles)."
337110,Wood Kitchen Cabinet and Countertop Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wood kitchen cabinets and countertops."
337121,Upholstered Household Furniture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing upholstered household furniture."
337122,Nonupholstered Wood Household Furniture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing nonupholstered wood household furniture."
337124,Metal Household Furniture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metal household furniture."
337125,Household Furniture (except Wood and Metal) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing household furniture (except wood and metal)."
337127,Institutional Furniture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing institutional furniture."
337211,Wood Office Furniture Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wood office furniture."
337212,Custom Architectural Woodwork and Millwork Manufacturing,"This industry comprises establishments primarily engaged in manufacturing custom architectural woodwork and millwork."
337214,Office Furniture (except Wood) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing office furniture (except wood)."
337215,Showcase Partition Shelving and Locker Manufacturing,"This industry comprises establishments primarily engaged in manufacturing showcases, partitions, shelving, and lockers."
337910,Mattress Manufacturing,"This industry comprises establishments primarily engaged in manufacturing mattresses."
337920,Blind and Shade Manufacturing,"This industry comprises establishments primarily engaged in manufacturing blinds and shades."
339110,Medical Equipment and Supplies Manufacturing,"This industry comprises establishments primarily engaged in manufacturing medical equipment and supplies."
339112,Surgical and Medical Instrument Manufacturing,"This industry comprises establishments primarily engaged in manufacturing surgical and medical instruments."
339113,Surgical Appliance and Supplies Manufacturing,"This industry comprises establishments primarily engaged in manufacturing surgical appliances and supplies."
339114,Dental Equipment and Supplies Manufacturing,"This industry comprises establishments primarily engaged in manufacturing dental equipment and supplies."
339115,Ophthalmic Goods Manufacturing,"This industry comprises establishments primarily engaged in manufacturing ophthalmic goods."
339116,Dental Laboratories,"This industry comprises establishments primarily engaged in dental laboratories."
339910,Jewelry and Silverware Manufacturing,"This industry comprises establishments primarily engaged in manufacturing jewelry and silverware."
339920,Sporting and Athletic Goods Manufacturing,"This industry comprises establishments primarily engaged in manufacturing sporting and athletic goods."
339930,Doll Toy and Game Manufacturing,"This industry comprises establishments primarily engaged in manufacturing dolls, toys, and games."
339940,Office Supplies (except Paper) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing office supplies (except paper)."
339950,Sign Manufacturing,"This industry comprises establishments primarily engaged in manufacturing signs."
